,majorGroup,scientificName,kingdomName,image_inaturalist,licence,assessmentId,internalTaxonId,phylumName,orderName,className,familyName,genusName,speciesName,authority,redlistCategory,populationTrend,scopes
519,Molluscs,Chlamydephorus burnupi,ANIMALIA,https://www.inaturalist.org/photos/15814106,"(c) Alex Rebelo, some rights reserved (CC BY-NC)",10301993,40086,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CHLAMYDEPHORIDAE,Chlamydephorus,burnupi,"(Smith, 1892)",Vulnerable,Unknown,Global
520,Molluscs,Haliotis cracherodii,ANIMALIA,https://www.inaturalist.org/photos/33549799,"(c) Jeff Goddard, some rights reserved (CC BY-NC)",10566196,41880,MOLLUSCA,LEPETELLIDA,GASTROPODA,HALIOTIDAE,Haliotis,cracherodii,"Leach, 1814",Critically Endangered,Decreasing,Global
521,Molluscs,Pleiodon spekii,ANIMALIA,https://www.inaturalist.org/photos/11474934,"(c) Martin Grimm, some rights reserved (CC BY-NC)",8310567,184669,MOLLUSCA,UNIONOIDA,BIVALVIA,IRIDINIDAE,Pleiodon,spekii,"(Woodward, 1859)",Least Concern,Unknown,"Global, Eastern Africa & Pan-Africa"
522,Molluscs,Bulinus truncatus,ANIMALIA,https://www.inaturalist.org/photos/114849055,"(c) faluke, some rights reserved (CC BY-NC)",120114540,99507883,MOLLUSCA,HYGROPHILA,GASTROPODA,BULINIDAE,Bulinus,truncatus,"(Audouin, 1827)",Least Concern,Stable,Global
523,Molluscs,Bertia cambojiensis,ANIMALIA,https://www.inaturalist.org/photos/45152667,"(c) Dmitry Ivanov, some rights reserved (CC BY-NC)",21247822,21247820,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,DYAKIIDAE,Bertia,cambojiensis,"(Reeve, 1860)",Critically Endangered,Unknown,Global
524,Molluscs,Pomatiopsis lapidaria,ANIMALIA,https://www.inaturalist.org/photos/158851354,"(c) Vitaly Charny, some rights reserved (CC BY-NC)",69633223,69629745,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,POMATIOPSIDAE,Pomatiopsis,lapidaria,"(Say, 1817)",Least Concern,Unknown,Global
525,Molluscs,Selenochlamys ysbryda,ANIMALIA,https://www.inaturalist.org/photos/2691243,"(c) Amgueddfa Cymru - National Museum Wales, some rights reserved (CC BY-SA)",71034153,71034149,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,TRIGONOCHLAMYDIDAE,Selenochlamys,ysbryda,"Rowson &amp; Symondson, 2008",Data Deficient,Stable,Global & Europe
526,Molluscs,Deroceras thersites,ANIMALIA,https://www.inaturalist.org/photos/166594764,"(c) diliangeorgiev, some rights reserved (CC BY-NC)",125239344,170708,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,AGRIOLIMACIDAE,Deroceras,thersites,"(Simroth, 1886)",Least Concern,Unknown,Global & Europe
527,Molluscs,Elona quimperiana,ANIMALIA,https://www.inaturalist.org/photos/160275938,"(c) Gilles San Martin, some rights reserved (CC BY-SA)",85564390,7658,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ELONIDAE,Elona,quimperiana,"(Blainville, 1821)",Least Concern,Stable,Global & Europe
528,Molluscs,Zonitoides excavatus,ANIMALIA,https://www.inaturalist.org/photos/120207288,"(c) Walter Wimmer, some rights reserved (CC BY-NC)",85579088,171455,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,GASTRODONTIDAE,Zonitoides,excavatus,"(Alder, 1830)",Least Concern,Stable,Global & Europe
529,Molluscs,Assiminea grayana,ANIMALIA,https://www.inaturalist.org/photos/96662979,"(c) nevermetsnails, some rights reserved (CC BY-NC)",86023024,155755,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,ASSIMINEIDAE,Assiminea,grayana,"Fleming, 1828",Least Concern,Stable,Global & Europe
530,Molluscs,Etheria elliptica,ANIMALIA,https://www.inaturalist.org/photos/31263549,"(c) benbarca, some rights reserved (CC BY-NC)",110761805,165311,MOLLUSCA,UNIONOIDA,BIVALVIA,ETHERIIDAE,Etheria,elliptica,"Lamarck, 1807",Least Concern,Decreasing,Global
531,Molluscs,Onchidella celtica,ANIMALIA,https://www.inaturalist.org/photos/180559146,"(c) Christophe Quintin, some rights reserved (CC BY-NC)",125243955,155784,MOLLUSCA,SYSTELLOMMATOPHORA,GASTROPODA,ONCHIDIIDAE,Onchidella,celtica,"(Cuvier, 1817)",Least Concern,Stable,Global & Europe
532,Molluscs,Pachymelania aurita,ANIMALIA,https://www.inaturalist.org/photos/5794902,"(c) Adedotun Ajibade, some rights reserved (CC BY-NC)",151150411,165769,MOLLUSCA,SORBEOCONCHA,GASTROPODA,HEMISINIDAE,Pachymelania,aurita,"(M√ºller, 1774)",Least Concern,Unknown,Global & Pan-Africa
533,Molluscs,Pinna nobilis,ANIMALIA,https://www.inaturalist.org/photos/157724552,"(c) Falk Viczian Solarboot-Projekte gGmbH, some rights reserved (CC BY-NC)",160081499,160075998,MOLLUSCA,PTERIOIDA,BIVALVIA,PINNIDAE,Pinna,nobilis,"Linnaeus, 1758",Critically Endangered,Decreasing,Global & Mediterranean
534,Molluscs,Thysanoteuthis rhombus,ANIMALIA,https://www.inaturalist.org/photos/11973276,"(c) Forest and Kim Starr, some rights reserved (CC BY)",177249178,163228,MOLLUSCA,OEGOPSIDA,CEPHALOPODA,THYSANOTEUTHIDAE,Thysanoteuthis,rhombus,"Troschel, 1857",Least Concern,Unknown,Global
535,Molluscs,Ambigolimax nyctelius,ANIMALIA,https://www.inaturalist.org/photos/111817208,"(c) dlbowls, some rights reserved (CC BY-NC)",1320864,171073,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,LIMACIDAE,Ambigolimax,nyctelius,"(Bourguignat, 1861)",Least Concern,Stable,Global & Europe
536,Molluscs,Faunus ater,ANIMALIA,https://www.inaturalist.org/photos/175364387,"(c) elsonsen, some rights reserved (CC BY-NC)",7097356,175104,MOLLUSCA,SORBEOCONCHA,GASTROPODA,PACHYCHILIDAE,Faunus,ater,"(Linnaeus, 1758)",Least Concern,Unknown,Global
537,Molluscs,Tympanotonos fuscatus,ANIMALIA,https://www.inaturalist.org/photos/113007310,"(c) Ester Serrao, some rights reserved (CC BY-NC)",151149734,165803,MOLLUSCA,SORBEOCONCHA,GASTROPODA,POTAMIDIDAE,Tympanotonos,fuscatus,"(Linnaeus, 1758)",Least Concern,Unknown,Global & Pan-Africa
538,Molluscs,Vitrea nadejdae,ANIMALIA,https://www.inaturalist.org/photos/145156940,"(c) Igor Balashov, some rights reserved (CC BY)",177294993,171387,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PRISTILOMATIDAE,Vitrea,nadejdae,"Lindholm, 1926",Endangered,Unknown,Global & Europe
539,Molluscs,Diplodon chilensis,ANIMALIA,https://www.inaturalist.org/photos/31448018,"(c) cwenzg, some rights reserved (CC BY-NC)",8675023,189076,MOLLUSCA,UNIONOIDA,BIVALVIA,HYRIIDAE,Diplodon,chilensis,"(Gray, 1828)",Least Concern,Unknown,Global
540,Molluscs,Eucobresia diaphana,ANIMALIA,https://www.inaturalist.org/photos/67512372,"(c) sjoc, some rights reserved (CC BY-NC-SA)",4930967,156347,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,VITRINIDAE,Eucobresia,diaphana,"(Draparnaud, 1805)",Least Concern,Stable,Global & Europe
541,Molluscs,Promenetus umbilicatellus,ANIMALIA,https://www.inaturalist.org/photos/1582017,"(c) Ken-ichi Ueda, some rights reserved (CC BY)",69633208,69626580,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Promenetus,umbilicatellus,"(Cockerell, 1887)",Least Concern,Unknown,Global
542,Molluscs,Phreatodrobia coronae,ANIMALIA,https://www.inaturalist.org/photos/28327545,"(c) Benjamin Schwartz, some rights reserved (CC BY-NC)",1914148,188869,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,COCHLIOPIDAE,Phreatodrobia,coronae,"Hershler &amp; Longley, 1987",Data Deficient,,Global
543,Molluscs,Onykia robusta,ANIMALIA,https://www.inaturalist.org/photos/31020689,"(c) pinemartyn, some rights reserved (CC BY-NC)",990102,163252,MOLLUSCA,OEGOPSIDA,CEPHALOPODA,ONYCHOTEUTHIDAE,Onykia,robusta,"(Verrill, 1876)",Data Deficient,Unknown,Global
544,Molluscs,Lolliguncula brevis,ANIMALIA,https://www.inaturalist.org/photos/9486465,"(c) Sharleen, some rights reserved (CC BY-NC)",970763,163081,MOLLUSCA,MYOPSIDA,CEPHALOPODA,LOLIGINIDAE,Lolliguncula,brevis,"(Blainville, 1823)",Data Deficient,Unknown,Global
545,Molluscs,Mytilopsis leucophaeata,ANIMALIA,https://www.inaturalist.org/photos/111369919,"(c) Pierre Corbrion, some rights reserved (CC BY-NC-SA)",4809971,155623,MOLLUSCA,VENERIDA,BIVALVIA,DREISSENIDAE,Mytilopsis,leucophaeata,"Conrad, 1831",Least Concern,Unknown,Global
546,Molluscs,Leptoxis plicata,ANIMALIA,https://www.inaturalist.org/photos/93041155,"(c) jesseholifield, some rights reserved (CC BY-NC)",3305444,11783,MOLLUSCA,SORBEOCONCHA,GASTROPODA,PLEUROCERIDAE,Leptoxis,plicata,"(Conrad, 1834)",Critically Endangered,Decreasing,Global
547,Molluscs,Potamopyrgus oppidanus,ANIMALIA,https://www.inaturalist.org/photos/137354609,"(c) Christopher Stephens, some rights reserved (CC BY-SA)",2544627,198894,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,TATEIDAE,Potamopyrgus,oppidanus,"Haase, 2008",Critically Endangered,Decreasing,Global
548,Molluscs,Helicodonta angigyra,ANIMALIA,https://www.inaturalist.org/photos/120274380,"(c) olga_zero, some rights reserved (CC BY-NC)",5022242,156963,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,HELICODONTIDAE,Helicodonta,angigyra,"(Rossm√§ssler, 1834)",Least Concern,Stable,Global & Europe
549,Molluscs,Aplexa elongata,ANIMALIA,https://www.inaturalist.org/photos/100073609,"(c) Derek Ziomber, some rights reserved (CC BY-NC-SA)",69633063,69623954,MOLLUSCA,HYGROPHILA,GASTROPODA,PHYSIDAE,Aplexa,elongata,"(Say, 1821)",Least Concern,Stable,Global
550,Molluscs,Discula polymorpha,ANIMALIA,https://www.inaturalist.org/photos/73331162,"(c) SÈbastien SANT, some rights reserved (CC BY-NC)",5009887,156868,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,GEOMITRIDAE,Discula,polymorpha,"R.T. Lowe, 1831",Least Concern,Stable,Global & Europe
551,Molluscs,Chambardia nyassaensis,ANIMALIA,https://www.inaturalist.org/photos/34274065,"(c) Rob Palmer, some rights reserved (CC BY-NC-SA)",120109944,184717,MOLLUSCA,UNIONOIDA,BIVALVIA,IRIDINIDAE,Chambardia,nyassaensis,"(Lea, 1864)",Least Concern,Unknown,"Global, Eastern Africa & Pan-Africa"
552,Molluscs,Theodoxus fluviatilis,ANIMALIA,https://www.inaturalist.org/photos/99662223,"(c) osoandino, some rights reserved (CC BY-NC)",113400624,165352,MOLLUSCA,CYCLONERITIDA,GASTROPODA,NERITIDAE,Theodoxus,fluviatilis,"(Linnaeus, 1758)",Least Concern,Stable,Global
553,Molluscs,Harmogenanina argentea,ANIMALIA,https://www.inaturalist.org/photos/1157582,"(c) John Slapcinsky, some rights reserved (CC BY-NC)",13009718,9697,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,HELICARIONIDAE,Harmogenanina,argentea,"Reeve, 1852",Vulnerable,,Global
554,Molluscs,Cochlicopa nitens,ANIMALIA,https://www.inaturalist.org/photos/197618160,Public Domain,11110676,5047,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,COCHLICOPIDAE,Cochlicopa,nitens,"(M. von Gallenstein, 1848)",Lower Risk/least concern,,Global
555,Molluscs,Poecilozonites circumfirmatus,ANIMALIA,https://www.inaturalist.org/photos/175176727,"(c) Luke Foster, some rights reserved (CC BY-NC)",77151067,77149902,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ZONITIDAE,Poecilozonites,circumfirmatus,"(Redfield, 1853)",Critically Endangered,Decreasing,Global
556,Molluscs,Stenomelania denisoniensis,ANIMALIA,https://www.inaturalist.org/photos/113967985,"(c) Thomas Gray, some rights reserved (CC BY-NC)",8665967,188945,MOLLUSCA,SORBEOCONCHA,GASTROPODA,THIARIDAE,Stenomelania,denisoniensis,"(Brot, 1877)",Least Concern,Stable,Global
557,Molluscs,Histioteuthis reversa,ANIMALIA,https://www.inaturalist.org/photos/32532461,"(c) Gonzalo Mucientes Sandoval, some rights reserved (CC BY-NC-SA)",980483,163177,MOLLUSCA,OEGOPSIDA,CEPHALOPODA,HISTIOTEUTHIDAE,Histioteuthis,reversa,"(Verrill, 1880)",Least Concern,Unknown,Global
558,Molluscs,Perdicella helena,ANIMALIA,https://www.inaturalist.org/photos/34243595,"(c) joshsilberg, some rights reserved (CC BY-NC)",6164918,16599,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ACHATINELLIDAE,Perdicella,helena,"(Newcomb, 1853)",Endangered,,Global
559,Molluscs,Saccostrea kegaki,ANIMALIA,https://www.inaturalist.org/photos/2301052,"(c) Sunnetchan, some rights reserved (CC BY-NC-SA)",2686260,200950,MOLLUSCA,OSTREOIDA,BIVALVIA,OSTREIDAE,Saccostrea,kegaki,"Torigoe &amp; Inaba, 1981",Least Concern,Unknown,Global
560,Molluscs,Margaritifera margaritifera,ANIMALIA,https://www.inaturalist.org/photos/93551328,"(c) Philippe Blais, some rights reserved (CC BY-NC-ND)",128686456,12799,MOLLUSCA,UNIONOIDA,BIVALVIA,MARGARITIFERIDAE,Margaritifera,margaritifera,"Linnaeus, 1758",Endangered,Decreasing,Global
561,Molluscs,Pila ampullacea,ANIMALIA,https://www.inaturalist.org/photos/106877418,"(c) Y. K. L., some rights reserved (CC BY-NC)",1763173,184900,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,AMPULLARIIDAE,Pila,ampullacea,"(Linnaeus, 1758)",Least Concern,Unknown,Global
562,Molluscs,Radiocentrum avalonense,ANIMALIA,https://www.inaturalist.org/photos/51684310,"(c) william_hoyer, some rights reserved (CC BY-NC)",8803247,19063,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,OREOHELICIDAE,Radiocentrum,avalonense,"(Hemphill, 1905)",Critically Endangered,,Global
563,Molluscs,Metasepia pfefferi,ANIMALIA,https://www.inaturalist.org/photos/79315525,"(c) Franco Colnago, some rights reserved (CC BY-NC)",943607,162681,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Metasepia,pfefferi,"(Hoyle, 1885)",Data Deficient,Unknown,Global
564,Molluscs,Lymnaea stagnalis,ANIMALIA,https://www.inaturalist.org/photos/237628866,"(c) simben, some rights reserved (CC BY-NC-ND)",42428297,155475,MOLLUSCA,HYGROPHILA,GASTROPODA,LYMNAEIDAE,Lymnaea,stagnalis,"(Linnaeus, 1758)",Least Concern,Stable,Global
565,Molluscs,Nodularia douglasiae,ANIMALIA,https://www.inaturalist.org/photos/184611202,"(c) azunyampus, some rights reserved (CC BY-NC)",98189479,166285,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Nodularia,douglasiae,"(Gray in Griffith &amp; Pidgeon, 1833)",Least Concern,Unknown,Global
566,Molluscs,Sepiadarium austrinum,ANIMALIA,https://www.inaturalist.org/photos/17573350,"(c) Erik Schlogl, some rights reserved (CC BY-NC)",913995,162550,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIADARIIDAE,Sepiadarium,austrinum,"Berry, 1921",Data Deficient,Unknown,Global
567,Molluscs,Sphyradium doliolum,ANIMALIA,https://www.inaturalist.org/photos/80128481,"(c) SÈbastien SANT, some rights reserved (CC BY-NC)",178110241,157033,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ORCULIDAE,Sphyradium,doliolum,"(Brugui√®re, 1792)",Least Concern,Stable,Global
568,Molluscs,Indoplanorbis exustus,ANIMALIA,https://www.inaturalist.org/photos/10138566,"(c) Subhajit Roy, some rights reserved (CC BY-NC-ND)",17211568,165594,MOLLUSCA,HYGROPHILA,GASTROPODA,BULINIDAE,Indoplanorbis,exustus,"(Deshayes, 1834)",Least Concern,Unknown,Global
569,Molluscs,Pyrgulopsis erythropoma,ANIMALIA,https://www.inaturalist.org/photos/104576213,"(c) Corey Lange, some rights reserved (CC BY-NC)",1931802,18966,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,HYDROBIIDAE,Pyrgulopsis,erythropoma,"(Pilsbry, 1899)",Critically Endangered,Unknown,Global
570,Molluscs,Xerarionta intercisa,ANIMALIA,https://www.inaturalist.org/photos/33809134,"(c) Cedric Lee, some rights reserved (CC BY-NC)",9418008,23138,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,HELMINTHOGLYPTIDAE,Xerarionta,intercisa,"(W.G. Binney, 1857)",Vulnerable,,Global
571,Molluscs,Lioplax cyclostomaformis,ANIMALIA,https://www.inaturalist.org/photos/218028384,"(c) jesseholifield, some rights reserved (CC BY-NC)",3321753,12101,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,VIVIPARIDAE,Lioplax,cyclostomaformis,"I. Lea, 1841",Vulnerable,,Global
572,Molluscs,Metafruticicola sublecta,ANIMALIA,https://www.inaturalist.org/photos/160334011,"(c) John, some rights reserved (CC BY-NC)",4942097,156419,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,HYGROMIIDAE,Metafruticicola,sublecta,"(von Maltzan, 1884)",Least Concern,Unknown,"Global, Europe & Mediterranean"
573,Molluscs,Ariunculus speziae,ANIMALIA,https://www.inaturalist.org/photos/3520464,"(c) Drepanostoma, some rights reserved (CC BY-NC)",1325584,171397,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ARIONIDAE,Ariunculus,speziae,"Lessona, 1881",Least Concern,Unknown,Global & Europe
574,Molluscs,Triodopsis platysayoides,ANIMALIA,https://www.inaturalist.org/photos/74598910,"(c) Joe Girgente, some rights reserved (CC BY-NC)",9364206,22194,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,POLYGYRIDAE,Triodopsis,platysayoides,"(Brooks, 1933)",Data Deficient,,Global
575,Molluscs,Tridacna derasa,ANIMALIA,https://www.inaturalist.org/photos/15739499,"(c) Rob Foster, some rights reserved (CC BY)",9362077,22136,MOLLUSCA,CARDIIDA,BIVALVIA,CARDIIDAE,Tridacna,derasa,"(R√∂ding, 1798)",Vulnerable,,Global
576,Molluscs,Solatopupa cianensis,ANIMALIA,https://www.inaturalist.org/photos/121668682,"(c) SÈbastien SANT, some rights reserved (CC BY-NC)",5028636,157064,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CHONDRINIDAE,Solatopupa,cianensis,"(Caziot, 1910)",Vulnerable,Stable,Global & Europe
577,Molluscs,Semisulcospira libertina,ANIMALIA,https://www.inaturalist.org/photos/175796807,"(c) Saryu Mae, some rights reserved (CC BY)",1127046,166281,MOLLUSCA,SORBEOCONCHA,GASTROPODA,SEMISULCOSPIRIDAE,Semisulcospira,libertina,"(Gould, 1859)",Least Concern,Unknown,Global
578,Molluscs,Sphaerium striatinum,ANIMALIA,https://www.inaturalist.org/photos/213564415,"(c) Jeff Garner, some rights reserved (CC BY-NC)",66639580,66639426,MOLLUSCA,VENERIDA,BIVALVIA,SPHAERIIDAE,Sphaerium,striatinum,"(Lamarck, 1818)",Least Concern,Stable,Global
579,Molluscs,Filicaulis seychellensis,ANIMALIA,https://www.inaturalist.org/photos/56645289,"(c) Paolo Mazzei, some rights reserved (CC BY-NC)",6461943,168167,MOLLUSCA,SYSTELLOMMATOPHORA,GASTROPODA,VERONICELLIDAE,Filicaulis,seychellensis,"(Fischer, 1871)",Least Concern,Stable,Global
580,Molluscs,Fluminicola seminalis,ANIMALIA,https://www.inaturalist.org/photos/10132213,"(c) Rob Irwin, some rights reserved (CC BY-NC)",8752327,189592,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,LITHOGLYPHIDAE,Fluminicola,seminalis,"(Hinds, 1842)",Data Deficient,Decreasing,Global
581,Molluscs,Boninosuccinea ogasawarae,ANIMALIA,https://www.inaturalist.org/photos/99562678,"(c) taisha568, some rights reserved (CC BY-NC)",9490070,2880,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,SUCCINEIDAE,Boninosuccinea,ogasawarae,"(Pilsbry, 1901)",Vulnerable,,Global
582,Molluscs,Bothriembryon glauerti,ANIMALIA,https://www.inaturalist.org/photos/3497588,"(c) Muriel Bendel, some rights reserved (CC BY-NC)",9493062,2907,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ORTHALICIDAE,Bothriembryon,glauerti,"Iredale, 1939",Vulnerable,,Global
583,Molluscs,Trachycystis haygarthi,ANIMALIA,https://www.inaturalist.org/photos/142297512,"(c) Dai Herbert, some rights reserved (CC BY-NC)",10938675,44711,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CHAROPIDAE,Trachycystis,haygarthi,"(Melvill &amp; Ponsonby, 1899)",Endangered,Unknown,Global
584,Molluscs,Cranchia scabra,ANIMALIA,https://www.inaturalist.org/photos/174547218,"(c) ernitaflynn, some rights reserved (CC BY-NC)",955561,162941,MOLLUSCA,OEGOPSIDA,CEPHALOPODA,CRANCHIIDAE,Cranchia,scabra,"Leach, 1817",Least Concern,Unknown,Global
585,Molluscs,Vallonia enniensis,ANIMALIA,https://www.inaturalist.org/photos/101442034,"(c) faluke, some rights reserved (CC BY-NC)",9393706,22833,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,VALLONIIDAE,Vallonia,enniensis,"Gredler, 1856",Data Deficient,,Global
586,Molluscs,Laciniaria plicata,ANIMALIA,https://www.inaturalist.org/photos/206605869,"(c) Vytautas, some rights reserved (CC BY-NC)",1329407,171650,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CLAUSILIIDAE,Laciniaria,plicata,"(Draparnaud, 1801)",Least Concern,Stable,Global & Europe
587,Molluscs,Chilostoma achates,ANIMALIA,https://www.inaturalist.org/photos/137125872,"(c) lukas_pirkner, some rights reserved (CC BY-NC)",5056629,157224,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,HELICIDAE,Chilostoma,achates,"(Rossm√§ssler, 1835)",Near Threatened,Decreasing,Global & Europe
588,Molluscs,Stylodonta unidentata,ANIMALIA,https://www.inaturalist.org/photos/31185052,"(c) Paolo Mazzei, some rights reserved (CC BY-NC)",6450480,168106,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ACAVIDAE,Stylodonta,unidentata,"(Holten, 1802)",Vulnerable,Stable,Global
589,Molluscs,Palaeohelicina heterochroa,ANIMALIA,https://www.inaturalist.org/photos/88537683,"(c) Heather Ketebengang, some rights reserved (CC BY-NC)",2472274,196665,MOLLUSCA,CYCLONERITIDA,GASTROPODA,HELICINIDAE,Palaeohelicina,heterochroa,"Wagner, 1905",Least Concern,Stable,Global
590,Molluscs,Acicula parcelineata,ANIMALIA,https://www.inaturalist.org/photos/143400414,"(c) Igor Balashov, some rights reserved (CC BY)",160565478,156993,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,ACICULIDAE,Acicula,parcelineata,"(Clessin, 1911)",Least Concern,Stable,Global & Europe
591,Molluscs,Leucophytia bidentata,ANIMALIA,https://www.inaturalist.org/photos/180096534,"(c) Julien Tchilinguirian, some rights reserved (CC BY-NC)",86023378,170598,MOLLUSCA,ELLOBIIDA,GASTROPODA,ELLOBIIDAE,Leucophytia,bidentata,"(Montagu, 1808)",Least Concern,Stable,Global & Europe
592,Molluscs,Gonatus fabricii,ANIMALIA,https://www.inaturalist.org/photos/32502103,"(c) mathieubouchard, some rights reserved (CC BY-NC)",981413,163186,MOLLUSCA,OEGOPSIDA,CEPHALOPODA,GONATIDAE,Gonatus,fabricii,"(Lichtenstein, 1818)",Least Concern,Unknown,Global
593,Molluscs,Meijeriella canaliculata,ANIMALIA,https://www.inaturalist.org/photos/71977285,"(c) Savvas Zafeiriou, some rights reserved (CC BY-NC)",5054384,157205,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ENIDAE,Meijeriella,canaliculata,"Bank, 1985",Least Concern,Unknown,Global & Mediterranean
594,Molluscs,Samoana fragilis,ANIMALIA,https://www.inaturalist.org/photos/75635108,"(c) Kayla Garcia, some rights reserved (CC BY-NC)",9106272,19881,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARTULIDAE,Samoana,fragilis,"(Ferussac, 1821)",Critically Endangered,Decreasing,Global
595,Molluscs,Tiphobia horei,ANIMALIA,https://www.inaturalist.org/photos/28200012,"(c) Joachim Louis, some rights reserved (CC BY-NC-ND)",9340138,21914,MOLLUSCA,SORBEOCONCHA,GASTROPODA,PALUDOMIDAE,Tiphobia,horei,"Smith, 1880",Least Concern,Unknown,"Global, Eastern Africa & Pan-Africa"
596,Molluscs,Bentosites macleayi,ANIMALIA,https://www.inaturalist.org/photos/108991225,"(c) Emma, some rights reserved (CC BY-NC)",9213969,20601,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,CAMAENIDAE,Bentosites,macleayi,"(Cox, 1865)",Lower Risk/near threatened,,Global
597,Molluscs,Gittenbergeria turriplana,ANIMALIA,https://www.inaturalist.org/photos/111277438,"(c) jmneiva, some rights reserved (CC BY-NC)",12969375,9197,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,TRISSEXODONTIDAE,Gittenbergeria,turriplana,"(Morelet, 1845)",Near Threatened,Unknown,Global & Europe
598,Molluscs,Polymesoda bengalensis,ANIMALIA,https://www.inaturalist.org/photos/28987456,"(c) Subhajit Roy, some rights reserved (CC BY-NC-ND)",1141971,166774,MOLLUSCA,VENERIDA,BIVALVIA,CYRENIDAE,Polymesoda,bengalensis,"(Lamarck, 1818)",Least Concern,Unknown,Global
599,Molluscs,Asperoteuthis acanthoderma,ANIMALIA,https://www.inaturalist.org/photos/58397175,"(c) NOAA Photo Library, some rights reserved (CC BY)",973704,163112,MOLLUSCA,OEGOPSIDA,CEPHALOPODA,CHIROTEUTHIDAE,Asperoteuthis,acanthoderma,"(Lu, 1977)",Least Concern,Unknown,Global
600,Molluscs,Rossia pacifica,ANIMALIA,https://www.inaturalist.org/photos/111803235,"(c) Sara Thiebaud, some rights reserved (CC BY-NC)",1962104,190951,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Rossia,pacifica,"Berry, 1911",Data Deficient,Unknown,Global
601,Mammals,Cricetus cricetus,ANIMALIA,https://www.inaturalist.org/photos/100250995,"(c) Dmitry Shtol, some rights reserved (CC BY-NC)",111875852,5529,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Cricetus,cricetus,"(Linnaeus, 1758)",Critically Endangered,Decreasing,Global
602,Mammals,Oryctolagus cuniculus,ANIMALIA,https://www.inaturalist.org/photos/209480642,"(c) jpshahady, some rights reserved (CC BY-NC)",170619657,41291,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Oryctolagus,cuniculus,"(Linnaeus, 1758)",Endangered,Decreasing,Global
603,Mammals,Microsciurus flaviventer,ANIMALIA,https://www.inaturalist.org/photos/110618084,"(c) docprt, some rights reserved (CC BY-NC)",22255256,13410,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Microsciurus,flaviventer,"(Gray, 1867)",Least Concern,Unknown,Global
604,Mammals,Nycticeius humeralis,ANIMALIA,https://www.inaturalist.org/photos/2492529,"(c) johnwilliams, some rights reserved (CC BY-NC)",22015223,14944,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Nycticeius,humeralis,"(Rafinesque, 1818)",Least Concern,Stable,Global
